Syscall,Flags
asmlinkage long sys_time(time_t __user *tloc);,None
asmlinkage long sys_stime(time_t __user *tptr);,None
"asmlinkage long sys_gettimeofday(struct timeval __user *tv, struct timezone __user *tz);",None
"asmlinkage long sys_settimeofday(struct timeval __user *tv, struct timezone __user *tz);",None
asmlinkage long sys_adjtimex(struct timex __user *txc_p);,None
asmlinkage long sys_times(struct tms __user *tbuf);,None
asmlinkage long sys_gettid(void);,None
"asmlinkage long sys_nanosleep(struct timespec __user *rqtp, struct timespec __user *rmtp);",None
asmlinkage long sys_alarm(unsigned int seconds);,None
asmlinkage long sys_getpid(void);,None
asmlinkage long sys_getppid(void);,None
asmlinkage long sys_getuid(void);,None
asmlinkage long sys_geteuid(void);,None
asmlinkage long sys_getgid(void);,None
asmlinkage long sys_getegid(void);,None
"asmlinkage long sys_getresuid(uid_t __user *ruid, uid_t __user *euid, uid_t __user *suid);",None
"asmlinkage long sys_getresgid(gid_t __user *rgid, gid_t __user *egid, gid_t __user *sgid);",None
asmlinkage long sys_getpgid(pid_t pid);,None
asmlinkage long sys_getpgrp(void);,None
asmlinkage long sys_getsid(pid_t pid);,None
"asmlinkage long sys_getgroups(int gidsetsize, gid_t __user *grouplist);",None
"asmlinkage long sys_setregid(gid_t rgid, gid_t egid);",None
asmlinkage long sys_setgid(gid_t gid);,None
"asmlinkage long sys_setreuid(uid_t ruid, uid_t euid);",None
asmlinkage long sys_setuid(uid_t uid);,None
"asmlinkage long sys_setresuid(uid_t ruid, uid_t euid, uid_t suid);",None
"asmlinkage long sys_setresgid(gid_t rgid, gid_t egid, gid_t sgid);",None
asmlinkage long sys_setfsuid(uid_t uid);,None
asmlinkage long sys_setfsgid(gid_t gid);,None
"asmlinkage long sys_setpgid(pid_t pid, pid_t pgid);",None
asmlinkage long sys_setsid(void);,None
"asmlinkage long sys_setgroups(int gidsetsize, gid_t __user *grouplist);",None
asmlinkage long sys_acct(const char __user *name);,None
"asmlinkage long sys_capget(cap_user_header_t header, cap_user_data_t dataptr);",None
"asmlinkage long sys_capset(cap_user_header_t header, const cap_user_data_t data);",None
asmlinkage long sys_personality(unsigned int personality);,None
asmlinkage long sys_sigpending(old_sigset_t __user *set);,None
"asmlinkage long sys_sigprocmask(int how, old_sigset_t __user *set, old_sigset_t __user *oset);",None
"asmlinkage long sys_sigaltstack(const struct sigaltstack __user *uss, struct sigaltstack __user *uoss);",None
"asmlinkage long sys_getitimer(int which, struct itimerval __user *value);",None
"asmlinkage long sys_setitimer(int which, struct itimerval __user *value, struct itimerval __user *ovalue);",None
"asmlinkage long sys_timer_create(clockid_t which_clock, struct sigevent __user *timer_event_spec, timer_t __user * created_timer_id);",None
"asmlinkage long sys_timer_gettime(timer_t timer_id, struct itimerspec __user *setting);",None
